,android.permission.WRITE_USER_DICTIONARY,android.permission.READ_CALL_LOG,android.permission.UPDATE_APP_OPS_STATS,android.permission.RECEIVE_MMS,android.permission.WAKE_LOCK,android.permission.ACCESS_NETWORK_STATE,android.permission.CLEAR_APP_CACHE,android.permission.SET_TIME_ZONE,com.android.voicemail.permission.ADD_VOICEMAIL,android.permission.READ_LOGS,android.permission.EXPAND_STATUS_BAR,android.permission.CALL_PRIVILEGED,android.permission.BROADCAST_STICKY,android.permission.MANAGE_ACCOUNTS,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.SEND_SMS,android.permission.PERSISTENT_ACTIVITY,android.permission.MEDIA_CONTENT_CONTROL,android.permission.READ_EXTERNAL_STORAGE,android.permission.SUBSCRIBED_FEEDS_READ,android.permission.READ_SYNC_SETTINGS,android.permission.BODY_SENSORS,android.permission.ACCESS_WIMAX_STATE,android.permission.READ_INSTALL_SESSIONS,android.permission.CHANGE_WIFI_STATE,android.permission.RESTART_PACKAGES,android.permission.SET_WALLPAPER,android.permission.VIBRATE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.STATUS_BAR,android.permission.MANAGE_DOCUMENTS,android.permission.WRITE_APN_SETTINGS,android.permission.READ_CALENDAR,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.CHANGE_CONFIGURATION,android.permission.WRITE_SMS,android.permission.READ_PRIVILEGED_PHONE_STATE,android.permission.BLUETOOTH,android.permission.INTERACT_ACROSS_USERS,android.permission.ACCESS_CACHE_FILESYSTEM,android.permission.TRANSMIT_IR,android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,android.permission.GET_PACKAGE_SIZE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.CHANGE_WIMAX_STATE,android.permission.ACCESS_DOWNLOAD_MANAGER,com.android.launcher.permission.UNINSTALL_SHORTCUT,android.permission.READ_SOCIAL_STREAM,android.permission.READ_CONTACTS,android.permission.READ_PROFILE,android.permission.FLASHLIGHT,android.permission.WRITE_PROFILE,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.RECEIVE_SMS,android.permission.ACCESS_WIFI_STATE,android.permission.BIND_ACCESSIBILITY_SERVICE,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.USE_SIP,android.permission.HARDWARE_TEST,android.permission.MANAGE_USERS,android.permission.CLEAR_APP_USER_DATA,android.permission.GET_ACCOUNTS,android.permission.CAMERA,android.permission.SET_DEBUG_APP,android.permission.WRITE_SYNC_SETTINGS,android.permission.ACCESS_MOCK_LOCATION,android.permission.ACCESS_FINE_LOCATION,com.android.alarm.permission.SET_ALARM,android.permission.RECEIVE_WAP_PUSH,android.permission.USE_CREDENTIALS,android.permission.PACKAGE_USAGE_STATS,android.permission.WRITE_MEDIA_STORAGE,android.permission.DELETE_PACKAGES,android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,android.permission.USE_FINGERPRINT,android.permission.BIND_DEVICE_ADMIN,android.permission.ACCESS_COARSE_LOCATION,android.permission.WRITE_CALENDAR,android.permission.SET_ORIENTATION,android.permission.WRITE_CONTACTS,android.permission.CHANGE_NETWORK_STATE,android.permission.DISABLE_KEYGUARD,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.INTERNAL_SYSTEM_WINDOW,android.permission.ACCOUNT_MANAGER,android.permission.INTERACT_ACROSS_USERS_FULL,android.permission.UPDATE_DEVICE_STATS,android.permission.BLUETOOTH_ADMIN,android.permission.PROCESS_OUTGOING_CALLS,android.permission.WRITE_SOCIAL_STREAM,android.permission.READ_SYNC_STATS,android.permission.ACCESS_ALL_DOWNLOADS,android.permission.READ_PHONE_STATE,android.permission.NFC,android.permission.CALL_PHONE,android.permission.WRITE_CALL_LOG,android.permission.RECORD_AUDIO,android.permission.DEVICE_POWER,android.permission.BIND_APPWIDGET,android.permission.WRITE_SECURE_SETTINGS,android.permission.READ_SMS,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,android.permission.BATTERY_STATS,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_SETTINGS,android.permission.SET_WALLPAPER_HINTS,android.permission.GLOBAL_SEARCH,android.permission.READ_USER_DICTIONARY,android.permission.INTERNET,android.permission.MODIFY_PHONE_STATE,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.MANAGE_DEVICE_ADMINS,android.permission.GET_TASKS,android.permission.INSTALL_PACKAGES,android.permission.CHANGE_COMPONENT_ENABLED_STATE,android.permission.REORDER_TASKS,android.permission.SUBSCRIBED_FEEDS_WRITE,android.permission.DELETE_CACHE_FILES,permissions,activities,services,providers,receivers,score
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.219073768027579,-0.46800922527799194,-0.4824848764472211,-0.1411568250857305,-0.5956736328109877,1.8440763778
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.219073768027579,-0.5632386343408619,-0.4824848764472211,-0.1411568250857305,-0.5956736328109877,1.49000168579
2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.219073768027579,-0.5632386343408619,-0.4824848764472211,-0.1411568250857305,-0.5956736328109877,1.4897741873500001
3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.219073768027579,-0.5632386343408619,-0.4824848764472211,-0.1411568250857305,-0.5956736328109877,1.4897741873500001
4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5971808538630388,-0.7854405888208915,-0.3608554799816455,-0.1411568250857305,-0.44979966357541307,3.1508430764999997
5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5971808538630388,-0.7854405888208915,-0.3608554799816455,-0.1411568250857305,-0.44979966357541307,3.1509549265
6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5971808538630388,-0.7854405888208915,-0.3608554799816455,-0.1411568250857305,-0.44979966357541307,1.4647094628600001
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.6728022710301308,-0.404522952569412,-0.6041142729127966,-0.29800806032901916,-0.7415476020465623,1.8196934345099998
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.6728022710301308,-0.34103667986083214,-0.7257436693783722,-0.29800806032901916,-0.7415476020465623,3.3015354685400005
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.6728022710301308,-0.34103667986083214,-0.7257436693783722,-0.29800806032901916,-0.7415476020465623,1.85391278417
